BINDEDSA	1.518	1.812	2.307	2.644	NA	NA	3.219	5.291	5.836	6.887	7.064	NA	NA	NA	14.598	19.044	NA	NA	NA	45.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	347
SAMEER	1.304	1.691	2.097	2.233	NA	156.612	3.531	6.423	6.811	7.783	8.033	NA	NA	10.085	14.191	17.651	18.906	NA	NA	34.6	38.945	41.901	NA	NA	NA	NA	111.885	NA	NA	259.364	345
5EVERJONNY	1.271	1.615	2.123	2.222	29.622	135.147	3.697	6.059	7.078	8.05	8.28	NA	NA	11.174	19.208	21.252	23.342	NA	NA	56.176	63.899	NA	NA	123.07	NA	NA	206.385	NA	304.266	464.657	314
GONTOD195	1.276	1.731	2.087	2.122	NA	NA	3.654	5.714	6.535	7.377	7.657	NA	NA	8.985	19.175	25.667	50.907	NA	NA	NA	NA	NA	NA	NA	NA	NA	703.312	NA	NA	NA	297
MLGSHEEP1	2.047	2.576	3.102	3.198	NA	NA	3.766	6.17	7.634	8.223	8.678	122.713	NA	13.429	15.927	19.646	21.632	NA	NA	37.368	43.57	45.374	NA	65.081	73.266	NA	113.858	139.434	166.635	247.294	257
MALTYSEN	3.653	NA	NA	NA	NA	NA	2.613	5.398	6.612	10.895	16.374	NA	NA	NA	18.703	23.882	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	241
DEDOLCUBING	1.298	1.824	2.285	2.382	NA	202.951	3.992	6.962	7.886	8.938	9.444	NA	NA	11.895	17.823	24.143	26.394	NA	59.208	37.632	NA	NA	NA	79.775	NA	NA	162.461	NA	224.308	347.591	218
LIQUEUR1314	1.671	1.99	2.902	NA	NA	147.068	3.385	7.438	8.462	10.103	NA	NA	500.069	9.1	15.232	22.03	NA	NA	28.887	41.971	NA	NA	NA	69.392	98.501	185.946	NA	NA	NA	359.244	213
LISTEK	1.322	1.781	2.28	2.353	35.927	190.657	4.37	6.494	7.758	8.491	8.796	NA	NA	15.801	19.825	23.898	26.169	29.123	NA	75.255	NA	NA	NA	139.882	NA	NA	NA	NA	NA	459.834	211
MYKE	1.507	1.997	2.4	3.53	29.994	NA	3.819	6.335	7.294	8.245	8.806	NA	NA	9.616	15.913	20.483	27.042	NA	NA	54.896	NA	NA	99.836	NA	NA	NA	NA	NA	NA	281.225	207
YANIKUSGG	1.774	2.216	2.636	2.725	49.229	NA	4.277	6.921	8.445	9.094	9.318	NA	NA	10.917	15.854	22.577	23.856	31.868	32.187	37.905	70.289	NA	89.472	71.451	78.736	NA	121.796	132.027	192.576	288.839	198
DAIKI	2.417	2.646	3.36	3.495	NA	NA	4.724	6.789	7.901	8.794	9.24	NA	NA	NA	16.606	20.166	21.374	23.547	NA	37.478	62.86	NA	NA	60.404	79.224	138.626	199.338	249.481	NA	313.402	195
GRUBAKUBA	1.97	2.607	3.159	3.276	NA	204.896	4.984	7.507	7.932	8.578	11.906	NA	NA	NA	15.215	19.841	20.767	24.099	NA	34.603	43.396	46.16	NA	78.594	87.892	NA	147.638	NA	349.804	852.759	194
HJQ	2.068	2.708	NA	NA	NA	NA	3	5.897	6.964	8.618	NA	NA	NA	NA	12.791	NA	NA	NA	NA	30.135	NA	NA	NA	61.966	NA	NA	NA	NA	NA	NA	176
OWEN	NA	NA	NA	NA	NA	NA	3.897	5.894	6.69	7.471	7.6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	160
SHABB	1.628	2.212	2.645	2.672	NA	NA	3.704	5.688	7.125	8.1	8.515	NA	NA	NA	15.786	20.869	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	391.82	158
ANTONYME	1.893	2.049	2.641	2.781	47.263	211.302	5.25	7.223	7.935	8.972	9.351	NA	924.394	14.423	19.288	24.802	26.262	NA	NA	70.171	NA	NA	NA	NA	NA	NA	139.273	149.88	NA	400.296	154
PEACEKNIGHT05	2.512	3.347	4.173	4.369	39.152	283.794	7.421	9.107	10.25	11.673	12.874	119.184	571.672	14.687	20.694	22.645	25.544	27.023	47.065	39.484	43.994	46.197	152.941	86.791	98.676	181.034	144.9	169.523	252.334	318.648	147
LUNARIEN	1.811	2.382	3.213	3.369	32.35	181.935	5.422	9.239	9.561	11.317	12.4	100.644	537.412	18.581	19.34	24.439	26.56	NA	NA	74.727	89.908	NA	NA	NA	NA	NA	NA	NA	NA	804.216	130
CHBLD	2.05	2.221	NA	NA	NA	NA	4.129	7.752	8.45	9.257	9.838	NA	NA	9.939	17.552	20.626	22.509	NA	35.012	49.208	NA	NA	NA	NA	NA	NA	127.649	151.759	243.811	306.453	121
GLOOP	1.924	2.848	3.528	3.658	NA	NA	3.632	5.895	7.216	7.989	8.651	NA	NA	NA	30.791	33.663	41.76	NA	NA	125.687	NA	NA	NA	NA	NA	NA	331.861	NA	NA	NA	117
THETSKERP	2.021	2.58	3.037	3.142	NA	NA	4.316	7.782	8.469	9.462	9.759	NA	NA	NA	14.958	23.001	25.059	NA	32.473	NA	NA	NA	NA	154.243	NA	NA	253.72	NA	NA	524.567	116
YUNKE	1.881	2.396	3.182	3.263	NA	NA	5.119	7.282	8.602	9.704	9.906	NA	573.324	13.183	17.399	20.892	29.187	NA	73.365	43.054	NA	NA	NA	84.605	NA	NA	239.652	NA	288.775	374.581	109
BREIN62	2.332	2.853	NA	NA	NA	NA	5.195	8.246	10.576	NA	NA	NA	NA	10.981	16.85	21.116	NA	NA	33.417	33.627	44.884	NA	98.265	66.343	NA	187.736	104.861	NA	163.465	238.254	103
VYACHESLAVPERVUSHIN	2.443	2.864	3.434	NA	NA	NA	4.842	7.27	8.243	9.377	9.697	NA	NA	22.583	17.197	20.066	22.176	NA	49.085	49.631	NA	NA	215.755	120.62	NA	NA	566.009	NA	NA	426.395	103
ROBIN	2.549	3.024	3.361	NA	NA	NA	4.754	7.599	8.605	9.406	9.677	NA	NA	51.058	20.257	24.163	25.506	27.424	NA	96.38	NA	NA	NA	133.837	NA	NA	NA	NA	NA	413.501	99
MARTIN	1.825	1.857	2.938	3.178	31.882	NA	4.283	9.139	10.495	12.186	NA	NA	NA	14.115	21.803	35.891	NA	NA	47.156	65.91	NA	NA	NA	117.759	NA	NA	178.273	NA	272.126	332.479	98
LEKH2003	1.762	2.455	3.033	3.077	NA	NA	4.36	7.389	8.478	9.373	9.899	NA	NA	NA	23.093	30.623	34.295	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	98
RICHYRUBIK	2.26	2.998	3.809	4.142	47.497	213.782	6.13	9.213	10.472	11.986	15.968	127.519	NA	13.951	21.497	28.448	30.348	NA	51.1	49.208	53.516	59.776	111.731	85.151	109.317	234.156	173.519	NA	282.348	375.79	97
EKIM	NA	NA	NA	NA	NA	NA	4.522	7.421	7.873	8.872	9.485	NA	NA	NA	29.497	NA	NA	NA	NA	42.788	NA	NA	NA	76.077	NA	NA	151.402	NA	238.207	286.853	94
YER12	2.042	2.733	3.065	3.242	NA	NA	4.823	7.857	9.032	10.136	10.525	127.702	NA	12.351	19.799	23.672	27.251	NA	NA	47.839	54.449	62.155	NA	110.791	NA	NA	NA	NA	NA	337.269	93
APU21	3.307	3.617	NA	NA	NA	NA	4.182	7.164	8.509	9.256	9.605	105.62	437.252	NA	33.192	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	93
TETRIAN22	2.511	3.29	4.107	4.302	42.551	261.536	6.372	9.926	11.203	12.093	12.492	NA	828.375	18.448	19.277	24.591	27.72	NA	48.366	52.552	60.324	NA	NA	96.559	110.445	226.744	156.263	NA	264.305	323.791	87
RODEMON	NA	NA	NA	NA	NA	NA	4.159	6.721	7.594	8.254	8.687	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	87
PYR	NA	NA	NA	NA	NA	NA	3.616	7.527	8.315	NA	NA	NA	NA	NA	15.607	20.858	22.885	NA	NA	46.239	NA	NA	NA	67.479	NA	NA	119.805	NA	187.191	260.032	86
HIMALAYANHOBO	1.996	2.568	2.981	NA	NA	NA	4.417	6.951	8.594	9.686	9.875	NA	NA	NA	18.719	24.792	25.708	NA	NA	NA	NA	NA	NA	123.815	NA	NA	NA	NA	NA	NA	83
STEFARN	2.481	2.917	3.459	3.547	NA	NA	6.042	9.474	10.494	11.912	NA	NA	NA	NA	16.732	21.283	23.788	NA	NA	40.322	45.747	NA	NA	61.451	NA	NA	NA	NA	NA	NA	83
AAAAAAAIDAN	2.617	2.919	NA	NA	NA	NA	4.691	6.981	7.789	8.952	9.178	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	80
DAPIANOKID	1.877	2.33	2.893	2.998	45.564	NA	4.688	8.726	10.255	10.884	11.424	NA	NA	41.232	20.953	24.403	27.305	NA	NA	52.657	NA	NA	NA	129.987	NA	NA	177.998	NA	NA	282.596	77
SYNAPSE	1.836	2.096	3.246	3.367	NA	190.469	6.239	8.38	9.232	16.14	26.223	NA	657.741	12.989	27.874	37.019	39.138	NA	NA	65.122	NA	NA	NA	147.213	NA	NA	417.051	NA	NA	480.812	77
MARKZHAO123	1.711	2.325	2.85	3.033	NA	NA	4.162	7.217	8.732	9.718	11.407	NA	NA	NA	19.811	25.572	28.113	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	404.856	75
NABBISSIMUX	2.451	2.904	3.516	4.151	NA	NA	5.417	8.89	9.794	11.206	18.295	NA	NA	18.841	17.753	25.289	28.433	NA	NA	39.749	50.442	57.265	127.658	219.302	NA	NA	185.931	NA	342.376	430.983	74
SCYTER	1.775	2.231	2.775	2.901	56.381	NA	5.128	7.944	8.321	9.735	10.099	190.228	NA	16.633	40.119	NA	NA	NA	60.263	NA	NA	NA	NA	131.198	NA	NA	277.111	NA	NA	615.474	73
PABLOSHOW	2.466	2.849	3.38	3.583	NA	NA	5.295	7.687	8.212	10.548	11.751	NA	NA	16.999	18.386	23.266	24.584	NA	NA	46.321	62.977	NA	NA	NA	NA	NA	NA	NA	277.02	NA	72
SETHAMAJIG	1.634	2.335	2.896	NA	NA	NA	4.97	7.367	9.107	NA	NA	NA	NA	12.753	18.183	22.183	NA	NA	NA	43.384	NA	NA	NA	80.628	NA	NA	168.164	NA	245.673	296.57	70
DAMIANDREXLER	NA	NA	NA	NA	NA	NA	4.904	6.359	7.575	8.559	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	67
TICIANO	2.558	3.196	3.939	4.274	NA	NA	5.52	8.41	9.73	10.983	12.509	NA	NA	14.376	19.119	24.853	26.763	NA	39.367	48.207	55.327	NA	NA	128.783	NA	NA	665.926	NA	346.695	1032.157	66
ZXX990124	NA	NA	NA	NA	NA	NA	4.806	8.066	10.408	11.597	12.111	NA	481.175	NA	18.471	NA	NA	NA	NA	82.327	NA	NA	NA	148.688	NA	NA	296.928	NA	NA	273.911	64
XXDFG	2.177	3.011	3.737	5.584	50.901	NA	5.594	8.186	10.269	14.01	24.028	149.366	NA	NA	19.077	29.381	31.844	NA	41.973	51.003	60.363	66.519	100.248	98.488	NA	220.026	364.963	NA	595.332	NA	63
ULTIMATEENEMY	2.316	2.726	3.107	3.155	NA	238.831	5.675	8.619	9.757	10.749	10.871	NA	NA	13.227	22.703	30.773	NA	NA	NA	57.317	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	62
MAIDAFROMSURGUT	3.192	4.437	NA	NA	NA	255.297	7.743	10.565	12.25	16.427	NA	168.622	709.361	16.395	20.479	28.958	32.473	NA	47.13	41.982	NA	NA	110.864	90.873	NA	317.238	150.091	NA	233.444	372.108	59
MYCHAEL	2.237	2.912	NA	NA	NA	NA	4.934	6.427	7.827	NA	NA	NA	NA	NA	19.029	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	56
KSHRUBB	2.159	2.783	3.393	3.619	NA	NA	5.332	7.587	9.019	10.343	10.853	NA	NA	NA	23.15	27.926	28.546	NA	NA	NA	NA	NA	NA	114.092	NA	NA	NA	NA	NA	452.762	56
KAWAIIHIPSTER	3.341	3.774	NA	NA	NA	NA	7.425	10.265	11.414	13.102	25.595	145.445	NA	18.255	20.639	27.799	33.759	NA	NA	50.93	57.962	59.586	NA	103.79	118.988	NA	232.998	NA	454.125	458.991	54
